Date,Close/Last,Volume,Open,High,Low
03/26/2014,100.33,N/A,100.33,100.33,100.33
03/25/2014,100.13,N/A,100.13,100.13,100.13
03/24/2014,100.22,N/A,100.22,100.22,100.22
03/21/2014,100.18,N/A,100.18,100.18,100.18
03/20/2014,100,N/A,100,100,100
03/19/2014,98.88,N/A,98.88,98.88,98.88
03/18/2014,98.63,N/A,98.63,98.63,98.63
03/17/2014,97.43,N/A,97.43,97.43,97.43
03/14/2014,98.4,N/A,98.4,98.4,98.4
03/13/2014,97.77,N/A,97.77,97.77,97.77
03/12/2014,97.51,N/A,97.51,97.51,97.51
03/11/2014,99.38,N/A,99.38,99.38,99.38
03/10/2014,100.35,N/A,100.35,100.35,100.35
03/07/2014,101.73,N/A,101.73,101.73,101.73
03/06/2014,100.77,N/A,100.77,100.77,100.77
03/05/2014,100.63,N/A,100.63,100.63,100.63
03/04/2014,102.4,N/A,102.4,102.4,102.4
03/03/2014,103.92,N/A,103.92,103.92,103.92
02/28/2014,100.68,N/A,100.68,100.68,100.68
02/27/2014,100.67,N/A,100.67,100.67,100.67
02/26/2014,100.69,N/A,100.69,100.69,100.69
02/25/2014,100.57,N/A,100.57,100.57,100.57
02/24/2014,100.77,N/A,100.77,100.77,100.77
02/21/2014,100.61,N/A,100.61,100.61,100.61
02/20/2014,100.78,N/A,100.78,100.78,100.78
02/19/2014,100.83,N/A,100.83,100.83,100.83
02/18/2014,100.51,N/A,100.51,100.51,100.51
02/17/2014,99.55,N/A,99.55,99.55,99.55
02/14/2014,99.55,N/A,99.55,99.55,99.55
02/13/2014,99.53,N/A,99.53,99.53,99.53
02/12/2014,99.5,N/A,99.5,99.5,99.5
02/11/2014,99.21,N/A,99.21,99.21,99.21
02/10/2014,99.25,N/A,99.25,99.25,99.25
02/07/2014,99.15,N/A,99.15,99.15,99.15
02/06/2014,97.54,N/A,97.54,97.54,97.54
02/05/2014,97.12,N/A,97.12,97.12,97.12
02/04/2014,96.92,N/A,96.92,96.92,96.92
02/03/2014,96.21,N/A,96.21,96.21,96.21
01/31/2014,97.24,N/A,97.24,97.24,97.24
01/30/2014,98.05,N/A,98.05,98.05,98.05
01/29/2014,97.21,N/A,97.21,97.21,97.21
01/28/2014,97.27,N/A,97.27,97.27,97.27
01/27/2014,95.61,N/A,95.61,95.61,95.61
01/24/2014,96.51,N/A,96.51,96.51,96.51
01/23/2014,97.14,N/A,97.14,97.14,97.14
01/22/2014,96.62,N/A,96.62,96.62,96.62
01/21/2014,94.92,N/A,94.92,94.92,94.92
01/20/2014,94.54,N/A,94.54,94.54,94.54
01/17/2014,94.54,N/A,94.54,94.54,94.54
01/16/2014,94.04,N/A,94.04,94.04,94.04
01/15/2014,94.3,N/A,94.3,94.3,94.3
01/14/2014,92.74,N/A,92.74,92.74,92.74
01/13/2014,92,N/A,92,92,92
01/10/2014,92.94,N/A,92.94,92.94,92.94
01/09/2014,91.89,N/A,91.89,91.89,91.89
01/08/2014,92.51,N/A,92.51,92.51,92.51
01/07/2014,93.8,N/A,93.8,93.8,93.8
01/06/2014,93.56,N/A,93.56,93.56,93.56
01/03/2014,95.51,N/A,95.51,95.51,95.51
01/02/2014,95.51,N/A,95.51,95.51,95.51
01/01/2014,97.89,N/A,97.89,97.89,97.89
12/31/2013,97.89,N/A,97.89,97.89,97.89
12/30/2013,97.94,N/A,97.94,97.94,97.94
12/27/2013,98.03,N/A,98.03,98.03,98.03
12/26/2013,97.92,N/A,97.92,97.92,97.92
12/25/2013,97.86,N/A,97.86,97.86,97.86
12/24/2013,97.86,N/A,97.86,97.86,97.86
12/23/2013,97.79,N/A,97.79,97.79,97.79
12/20/2013,97.9,N/A,97.9,97.9,97.9
12/19/2013,97.81,N/A,97.81,97.81,97.81
12/18/2013,97.44,N/A,97.44,97.44,97.44
12/17/2013,97.19,N/A,97.19,97.19,97.19
12/16/2013,97.32,N/A,97.32,97.32,97.32
12/13/2013,96.88,N/A,96.88,96.88,96.88
12/12/2013,97.39,N/A,97.39,97.39,97.39
12/11/2013,97.34,N/A,97.34,97.34,97.34
12/10/2013,98.01,N/A,98.01,98.01,98.01
12/09/2013,97.19,N/A,97.19,97.19,97.19
12/06/2013,97.44,N/A,97.44,97.44,97.44
12/05/2013,97.21,N/A,97.21,97.21,97.21
12/04/2013,97.06,N/A,97.06,97.06,97.06
12/03/2013,96.01,N/A,96.01,96.01,96.01
12/02/2013,93.91,N/A,93.91,93.91,93.91
11/29/2013,92.82,43,92.82,92.82,92.82
11/28/2013,92.41,N/A,92.41,92.41,92.41
11/27/2013,92.41,2102,92.41,92.41,92.41
11/26/2013,93.79,489,93.79,93.79,93.79
11/25/2013,94.19,131,94.19,94.19,94.19
11/22/2013,94.94,84,94.94,94.94,94.94
11/21/2013,95.52,N/A,95.52,95.52,95.52
11/20/2013,93.94,574,93.94,93.94,93.94
11/19/2013,93.98,152,93.98,93.98,93.98
11/18/2013,93.79,N/A,93.79,93.79,93.79
11/15/2013,94.6,N/A,94.6,94.6,94.6
11/14/2013,94.53,13,94.53,94.53,94.53
11/13/2013,94.58,49,94.58,94.58,94.58
11/12/2013,93.61,3,93.61,93.61,93.61
11/11/2013,95.52,N/A,95.52,95.52,95.52
11/08/2013,95,884,95,95,95
11/07/2013,94.58,N/A,94.58,94.58,94.58
11/06/2013,95.18,109,95.18,95.18,95.18
11/05/2013,93.79,225,93.79,93.79,93.79
11/04/2013,95.03,N/A,95.03,95.03,95.03
11/01/2013,94.72,195,94.72,94.72,94.72
10/31/2013,96.46,1199,96.46,96.46,96.46
10/30/2013,96.86,N/A,96.86,96.86,96.86
10/29/2013,98.25,764,98.25,98.25,98.25
10/28/2013,98.73,645,98.73,98.73,98.73
10/25/2013,100.61,N/A,100.61,100.61,100.61
10/24/2013,97.15,1,97.15,97.15,97.15
10/23/2013,96.9,293,96.9,96.9,96.9
10/22/2013,98.35,190,98.35,98.35,98.35
10/21/2013,99.7,62,99.7,99.7,99.7
10/18/2013,101.07,141,101.07,101.07,101.07
10/17/2013,100.8,339,100.8,100.8,100.8
10/16/2013,102.44,110,102.44,102.44,102.44
10/15/2013,101.36,36,101.36,101.36,101.36
10/14/2013,102.41,242,102.41,102.41,102.41
10/11/2013,102,316,102,102,102
10/10/2013,102.77,150,102.77,102.77,102.77
10/09/2013,101.29,56,101.29,101.29,101.29
10/08/2013,103.16,N/A,103.16,103.16,103.16
10/07/2013,102.68,360,102.68,102.68,102.68
10/04/2013,103.32,188,103.32,103.32,103.32
10/03/2013,102.75,118,102.75,102.75,102.75
10/02/2013,103.87,121,103.87,103.87,103.87
10/01/2013,101.93,2373,101.93,101.93,101.93
09/30/2013,106.24,N/A,106.24,106.24,106.24
09/27/2013,106.26,N/A,106.26,106.26,106.26
09/26/2013,106.28,N/A,106.28,106.28,106.28
09/25/2013,106.22,N/A,106.22,106.22,106.22
09/24/2013,106.32,3,106.32,106.32,106.32
09/23/2013,106.43,N/A,106.43,106.43,106.43
09/20/2013,106.78,N/A,106.78,106.78,106.78
09/19/2013,107.2,N/A,107.2,107.2,107.2
09/18/2013,107.79,N/A,107.79,107.79,107.79
09/17/2013,106.66,N/A,106.66,106.66,106.66
09/16/2013,107.3,N/A,107.3,107.3,107.3
09/13/2013,108.11,N/A,108.11,108.11,108.11
09/12/2013,108.29,40,108.29,108.29,108.29
09/11/2013,107.6,10,107.6,107.6,107.6
09/10/2013,107.48,10,107.48,107.48,107.48
09/09/2013,109.03,N/A,109.03,109.03,109.03
09/06/2013,109.85,N/A,109.85,109.85,109.85
