Date,Close/Last,Volume,Open,High,Low
03/08/2016,39.65,34505,40.84,41.48,39.31
03/07/2016,40.84,32987,38.99,41.04,38.88
03/04/2016,38.72,31890,36.96,38.98,36.83
03/03/2016,37.07,25750,37.03,37.36,36.36
03/02/2016,36.93,31673,36.56,37.38,36.11
03/01/2016,36.81,28196,36.68,37.25,35.94
02/29/2016,35.97,1479,35.14,36.21,34.89
02/26/2016,35.1,13899,35.09,36.99,34.85
02/25/2016,35.29,24398,34.43,35.73,33.3
02/24/2016,34.41,46003,32.99,34.66,32.37
02/23/2016,33.27,40934,34.54,35.11,32.93
02/22/2016,34.69,24606,33.12,34.97,32.82
02/19/2016,33.01,30912,34.04,34.44,32.68
